fieldsurfacetype, streetno, sportsplayed, facilityname, numberfieldcourts, facilitycondition, facilityupgradeage, facility_id, postcode, facilityage, streettype, changerooms, longitude, latitude, faciltysportplayedid, objectid, suburbtown, lga, streetname
null,"251","Fitness / Gymnasium Workouts","Middle Brighton Gymnasium",1,null,null,"BAYSID12382",3186,null,null,null,144.995686000369,-37.9084249987061,20477,829,"BRIGHTON","BAYSIDE","The Esplanade"
null,"210","Fitness / Gymnasium Workouts","One Fitness",1,null,null,"BAYSID12371",3186,null,"Street",null,144.999265999969,-37.90514899948,20459,830,"BRIGHTON","BAYSIDE","Bay"
null,"258","Fitness / Gymnasium Workouts","Push it Fitness & Health",1,null,null,"BAYSID12336",3192,null,"Road",null,145.055299999818,-37.9686609993803,20402,831,"CHELTENHAM","KINGSTON","Charman"
null,"10","Fitness / Gymnasium Workouts","Re-Creation Health Club",1,null,null,"BAYSID12377",3188,null,"Walk North",null,145.054104000553,-37.9047679994589,20471,832,"HAMPTON","GLEN EIRA","Railway"
null,"150","Fitness / Gymnasium Workouts","Re-Creation Health Club",null,null,null,"BAYSID12386",3191,null,"Street",null,145.054104000553,-37.9047679994589,20489,833,"SANDRINGHAM","GLEN EIRA","Tulip"
null,"8","Fitness / Gymnasium Workouts","Red Team Health & Fitness",1,null,null,"BAYSID12393",3188,null,"Street",null,145.000013000129,-37.9362199987008,20500,834,"HAMPTON","BAYSIDE","Willis"
null,"376","Fitness / Gymnasium Workouts","Strides Ahead",1,null,null,"BAYSID12360",3190,null,"Road",null,145.045372999809,-37.949306999147,20445,835,"HIGHETT","KINGSTON","Highett"
null,null,"Golf","Brighton Golf Course",null,"4. Good",null,"BAYSID5403",null,"51 Years +",null,null,145.017099999886,-37.9258999989974,27652,836,null,"BAYSIDE",null
"18 Hole Course - Public","232","Golf","Brighton Public Golf Course",1,null,null,"BAYSID12344",3186,null,"Street",null,145.013588999919,-37.9250609988098,20414,837,"BRIGHTON","BAYSIDE","Dendy"
"9 Hole Course - Public",null,"Golf","Cheltenham Golf Club",1,null,null,"BAYSID12389",3192,null,"Road",null,145.046946999527,-37.9675049987993,20493,838,"CHELTENHAM","BAYSIDE","Weatherall"
null,null,"Golf","Elsternwick Golf Course",null,"4. Good",null,"BAYSID5407",null,"51 Years +",null,null,144.994099999893,-37.8858999993528,27658,839,null,"BAYSIDE",null
"9 Hole Course - Public",null,"Golf","Elsternwick Public Golf Course",1,null,null,"BAYSID12394",3185,null,"Road",null,144.993789999768,-37.884782998689,20501,840,"ELSTERNWICK","BAYSIDE","Glenhuntly"
"18 Hole Course - Private",null,"Golf","Royal Melbourne Golf Club",1,null,null,"BAYSID12338",3192,null,"Road",null,145.030317999665,-37.9708919993253,20404,841,"CHELTENHAM","BAYSIDE","Cheltenham"
"18 Hole Course - Private",null,"Golf","Sandringham Golf Links",1,null,null,"BAYSID12339",3192,null,"Road",null,145.030317999665,-37.9708919993253,20406,842,"CHELTENHAM","BAYSIDE","Cheltenham"
"18 Hole Course - Private",null,"Golf","Victoria Golf Club",1,null,null,"BAYSID12390",3192,null,"Road",null,145.046946999527,-37.9675049987993,20494,843,"CHELTENHAM","BAYSIDE","Weatherall"
null,"93","Gymnastics","Brighton Recreation Centre",null,null,null,"BAYSID11453",3186,null,"Cresent",null,144.994174999686,-37.9099319990678,27305,844,"BRIGHTON","BAYSIDE","Outer"
null,null,"Hockey","Boss James Reserve",null,"4. Good",null,"BAYSID5413",null,"26 - 50 Years",null,null,145.021800000408,-37.9425999993218,27669,845,null,"BAYSIDE",null
"Artificial Turf",null,"Hockey","Brighton Secondary College",1,null,null,"BAYSID11289",3187,null,"Road",null,145.018370000313,-37.9218369986743,27174,846,"BRIGHTON EAST","BAYSIDE","Marriage"
"Grass","6","Lawn Bowls","Black Rock Bowling Club",3,null,null,"BAYSID4267",3193,null,"Street",null,145.019631000093,-37.9656869990972,26734,847,"BLACK ROCK","BAYSIDE","Fern"
null,null,"Lawn Bowls","Brighton Beach Lawn Bowls Club",5,"4. Good",null,"BAYSID5410",null,"51 Years +",null,null,144.989899999789,-37.9278999989505,27662,848,null,"BAYSIDE",null
