fieldsurfacetype,streetno,sportsplayed,facilityname,numberfieldcourts,facilitycondition,facilityupgradeage,facility_id,postcode,facilityage,streettype,changerooms,longitude,latitude,faciltysportplayedid,objectid,suburbtown,lga,streetname
Grass,null,Soccer,Johnson Reserve,1,3. Average,N/A,MARIBY8466,3012,51 Years +,Street,"Umpire/Officials, Unisex",144.875439,-37.792328,26061,5344,MAIDSTONE,MARIBYRNONG,Oxford
Grass,null,Soccer,McIvor Reserve,2,1. Very Poor,Upgrade in progress,MARIBY8475,3013,11 - 25 Years,Street,"Umpire/Officials, Unisex",144.86942,-37.821367,26078,5345,YARRAVILLE,MARIBYRNONG,Benbow
Grass,null,Soccer,Scovell Reserve,1,2. Poor,11 + Years,MARIBY8484,3012,51 Years +,Crescent,Unisex,144.877917,-37.784121,26097,5346,MAIDSTONE,MARIBYRNONG,Scovell
Grass,null,Soccer,Skinner Reserve,2,3. Average,N/A,MARIBY8485,3019,26 - 50 Years,Avenue,"Umpire/Officials, Unisex",144.855322,-37.787315,26101,5347,BRAYBROOK,MARIBYRNONG,Churchill
null,90,Soccer (Indoor Soccer / Futsal),Action Indoor Sports,3,null,null,MARIBY8447,3011,null,Street,null,144.889729,-37.788284,26023,5348,FOOTSCRAY,MARIBYRNONG,Gordon
null,null,Soccer (Indoor Soccer / Futsal),RecWest Braybrook,4,4. Good,N/A,MARIBY8479,3019,26 - 50 Years,Street,"Umpire/Officials, Unisex",144.848733,-37.78359,26087,5349,BRAYBROOK,MARIBYRNONG,Lily
null,417,Soccer (Indoor Soccer / Futsal),Whitten Oval,4,null,null,MARIBY8488,3012,null,Street,null,144.886788,-37.799971,26109,5350,WEST FOOTSCRAY,MARIBYRNONG,Barkly
25m Pool - Indoor,null,Swimming,Footscray Park Aquatic and Fitness Centre (Vic Uni),null,null,null,MARIBY8458,3011,null,Road,null,144.898001,-37.792875,26042,5351,FOOTSCRAY,MARIBYRNONG,Ballarat
"50m Pool - Outdoor, Rehabilitation Pool, Spa/Sauna",1,Swimming,Maribyrnong Aquatic Centre,null,5. Very Good,N/A,MARIBY8472,3032,6 - 10 Years,Drive,"Female, Male",144.886664,-37.7768,26070,5352,MARIBYRNONG,MARIBYRNONG,Aquatic
null,275,Tae Kwon Do,Fusion Martial Arts & Fitness,null,null,null,MARIBY8460,3013,null,Street,null,144.896175,-37.821389,26046,5353,YARRAVILLE,MARIBYRNONG,Hyde
null,3,Tae Kwon Do,Legacy Taekwon-Do,null,null,null,MARIBY8469,3019,null,Street,null,144.862613,-37.780036,26067,5354,BRAYBROOK,MARIBYRNONG,Evans
null,169,Ten Pin Bowling,Highpoint AMF Bowling,null,null,null,MARIBY8465,3032,null,Road,null,144.889729,-37.788284,26060,5355,MARIBYRNONG,MARIBYRNONG,Rosamond
Plexipave,null,Tennis (Outdoor),Chruickshank Park,2,3. Average,N/A,MARIBY8450,3013,26 - 50 Years,Street,null,144.875845,-37.818041,26026,5356,YARRAVILLE,MARIBYRNONG,Francis
Plexipave,null,Tennis (Outdoor),Hansen Reserve,6,2. Poor,N/A,MARIBY8463,3012,26 - 50 Years,Street,"Umpire/Officials, Unisex",144.872795,-37.803852,26054,5357,WEST FOOTSCRAY,MARIBYRNONG,Roberts
Plexipave,null,Tennis (Outdoor),Henry Turner South Reserve,3,null,N/A,MARIBY8464,3011,26 - 50 Years,Avenue,null,144.899676,-37.79159,26059,5358,FOOTSCRAY,MARIBYRNONG,Farnsworth
Plexipave,null,Tennis (Outdoor),Johnson Reserve,2,1. Very Poor,N/A,MARIBY8466,3012,51 Years +,Street,null,144.875439,-37.792328,26062,5359,MAIDSTONE,MARIBYRNONG,Oxford
null,null,Tennis (Outdoor),RecWest Footscray,2,null,null,MARIBY8480,3011,null,Street,null,144.879866,-37.795598,26090,5360,FOOTSCRAY,MARIBYRNONG,Market
